date	Numéro 1	Numéro 2	Numéro 3	Numéro 4	Numéro 5	Etoile 1	Etoile 2
29/08/2025	6	9	10	13	37	1	7
26/08/2025	2	14	38	42	45	10	11
22/08/2025	6	9	12	30	39	4	10
19/08/2025	24	31	34	41	43	6	8
15/08/2025	13	30	35	36	40	2	6
12/08/2025	18	28	42	46	48	3	9
08/08/2025	2	12	19	34	44	6	10
05/08/2025	1	3	5	42	47	5	10
01/08/2025	4	16	25	29	30	2	10
29/07/2025	5	6	42	44	46	4	8
25/07/2025	6	7	23	32	36	11	12
22/07/2025	8	15	26	33	41	9	10
18/07/2025	13	19	25	42	45	2	9
15/07/2025	24	38	41	45	49	1	6
11/07/2025	8	23	24	45	49	2	10
08/07/2025	1	8	9	18	50	1	5
04/07/2025	19	29	42	45	48	5	7
01/07/2025	1	17	28	32	34	7	8
27/06/2025	19	27	36	45	49	7	10
24/06/2025	7	16	21	23	39	7	11
20/06/2025	5	8	24	37	47	3	9
17/06/2025	13	22	23	44	49	3	5
13/06/2025	2	28	40	43	45	3	7
10/06/2025	19	36	39	40	45	5	6
06/06/2025	20	21	29	30	35	2	12
03/06/2025	12	15	38	47	48	5	7
30/05/2025	4	7	14	33	36	1	5
27/05/2025	12	30	38	40	41	4	12
23/05/2025	10	29	43	46	49	7	12
20/05/2025	1	8	13	29	47	5	6
16/05/2025	6	9	25	37	46	6	12
13/05/2025	9	19	44	47	50	2	9
09/05/2025	15	18	25	29	47	5	9
06/05/2025	8	23	24	47	48	4	9
02/05/2025	3	5	19	21	49	1	10
29/04/2025	2	9	24	30	41	1	11
25/04/2025	13	22	32	39	41	1	12
22/04/2025	7	28	33	37	47	9	12
18/04/2025	20	27	35	39	48	3	8
15/04/2025	3	31	33	38	44	6	12
11/04/2025	14	28	34	46	49	3	8
08/04/2025	3	14	15	48	49	1	7
04/04/2025	27	39	41	45	50	5	7
01/04/2025	9	24	30	46	49	4	12
28/03/2025	10	21	30	42	45	1	9
25/03/2025	1	3	18	33	36	2	6
21/03/2025	9	17	18	21	50	5	12
18/03/2025	4	9	35	46	50	8	11
14/03/2025	8	10	33	35	49	2	9
11/03/2025	13	36	37	42	47	7	11
07/03/2025	6	10	27	32	48	3	8
04/03/2025	15	20	29	35	42	2	9
28/02/2025	7	16	31	43	46	5	9
25/02/2025	17	22	23	24	44	6	11
21/02/2025	1	3	11	20	43	2	11
18/02/2025	5	14	25	26	40	5	7
14/02/2025	4	14	31	36	38	3	10
11/02/2025	3	21	36	41	46	1	6
07/02/2025	10	23	24	29	45	8	10
04/02/2025	3	4	29	39	43	5	10
31/01/2025	22	30	41	44	49	2	7
28/01/2025	9	37	41	42	49	1	9
24/01/2025	2	11	19	30	49	3	8
21/01/2025	6	8	14	27	41	4	5
17/01/2025	8	15	24	35	42	6	8
14/01/2025	18	20	29	41	48	5	9
10/01/2025	12	27	36	37	42	6	7
07/01/2025	20	33	35	41	47	4	12
03/01/2025	3	19	29	35	37	1	9
